sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
115,1689484033,5.457594,-4.345458,-9.367377,-13.376009,-34.798084,57.798134,-0.348600,0.156477,0.897176,-0.221515,
116,1689500700,5.705900,-4.150604,-9.209087,-10.694858,-41.130589,61.289417,-0.339802,0.164021,0.898696,-0.223558,
117,1689517367,5.971256,-3.824165,-9.002234,-11.538432,-48.172649,64.698288,-0.329916,0.171806,0.900374,-0.225754,
118,1689534034,5.756870,-3.477757,-8.963247,-18.639826,-54.557518,67.484230,-0.318894,0.180060,0.902360,-0.227228,
119,1689550701,5.363858,-3.253908,-9.020820,-30.633764,-59.440861,69.316132,-0.306818,0.188913,0.904729,-0.227244,
120,1689567368,4.850857,-3.364171,-9.280849,-42.288647,-62.672859,69.315331,-0.293952,0.198133,0.907409,-0.225709,
121,1689584035,4.208750,-3.675320,-9.407531,-47.913391,-64.827881,67.375542,-0.280649,0.207217,0.910182,-0.223305,
122,1689600702,3.753679,-4.286891,-9.607655,-45.914230,-67.295128,62.834789,-0.267171,0.215491,0.912886,-0.220959,
123,1689617369,3.540784,-4.033688,-10.144751,-35.023235,-69.290749,57.206112,-0.253901,0.222488,0.915265,-0.219825,
124,1689634036,2.982144,-3.647547,-10.095933,-24.620428,-70.877953,52.915619,-0.240848,0.228446,0.917306,-0.219896,
125,1689650703,2.613842,-3.128352,-9.949212,-24.563597,-73.310699,50.476650,-0.227509,0.233968,0.919317,-0.219898,
126,1689667370,2.067800,-2.850127,-10.022884,-32.609406,-76.169693,49.542576,-0.213501,0.239505,0.921507,-0.218813,
127,1689684037,1.782274,-2.757721,-9.996031,-45.298367,-79.320404,50.129211,-0.198560,0.245371,0.923948,-0.216072,
128,1689700704,1.538764,-2.872320,-10.213367,-57.276081,-82.521019,51.015442,-0.182681,0.251546,0.926556,-0.211771,
129,1689717371,1.140194,-3.116668,-10.386851,-61.578781,-85.251633,52.019283,-0.166193,0.257819,0.929028,-0.206923,
130,1689734038,0.620588,-3.375022,-10.518630,-55.804482,-87.389717,52.970806,-0.149553,0.263948,0.931025,-0.202873,
131,1689750705,0.148438,-3.764542,-10.550076,-47.617950,-88.941063,52.923298,-0.132975,0.269781,0.932507,-0.199914,
132,1689767372,-0.192793,-4.078411,-10.390016,-44.797897,-90.730530,51.854832,-0.116259,0.275301,0.933679,-0.197325,
133,1689784039,-0.306718,-4.287603,-10.140128,-46.781658,-92.969284,50.500156,-0.099167,0.280538,0.934688,-0.194480,
134,1689800706,-0.300719,-4.269233,-10.106704,-46.063377,-95.207451,49.838116,-0.081798,0.285540,0.935415,-0.191768,
135,1689817373,-0.527059,-3.981065,-10.176931,-37.949020,-96.242950,50.992134,-0.064586,0.290499,0.935561,-0.190171,
136,1689834040,-0.900527,-3.580562,-10.145240,-30.369999,-95.597885,53.601719,-0.047710,0.295687,0.935073,-0.189557,
137,1689850707,-1.165621,-3.280842,-9.897185,-31.589331,-93.477707,57.004005,-0.030981,0.301332,0.934155,-0.188661,
138,1689867374,-1.117465,-2.948389,-9.651695,-40.884441,-91.013252,60.643818,-0.014090,0.307502,0.933014,-0.186358,
139,1689884041,-1.067545,-2.880896,-9.544220,-52.796535,-89.583878,64.334091,0.003219,0.314144,0.931698,-0.182324,
140,1689900708,-0.630241,-3.034678,-9.484032,-61.980198,-90.583488,67.095329,0.021124,0.321020,0.930141,-0.177026,
141,1689917375,-0.413590,-3.263488,-9.409297,-64.160873,-94.237106,67.522179,0.039584,0.327729,0.928225,-0.171538,
142,1689934042,-0.354819,-3.439230,-9.457262,-56.697765,-98.630516,65.005791,0.058151,0.333904,0.925831,-0.167224,
143,1689950709,-0.515505,-3.316974,-9.468862,-41.340488,-102.169411,60.357418,0.076257,0.339375,0.922896,-0.165142,
144,1689967376,-0.341407,-2.825053,-9.120489,-30.546902,-103.919106,55.425552,0.093860,0.344150,0.919595,-0.164610,
145,1689984043,-0.017592,-2.047700,-8.355381,-32.479343,-103.776367,51.602932,0.111359,0.348284,0.916220,-0.163822,
146,1690000710,0.566796,-1.450093,-7.131089,-43.144695,-103.352325,48.678173,0.129175,0.351758,0.912945,-0.161591,
147,1690017377,1.248512,-1.225016,-6.225512,-51.239773,-103.415817,44.748375,0.147215,0.354444,0.909745,-0.158310,
148,1690034044,1.512563,-0.859344,-5.437710,-49.987656,-102.350807,38.635639,0.164796,0.356259,0.906547,-0.155222,
149,1690050711,1.712164,-0.281921,-4.485746,-41.828014,-99.082870,31.302696,0.181244,0.357278,0.903350,-0.153172,
150,1690067378,1.567001,0.221933,-3.387713,-34.423527,-92.305901,23.957830,0.196152,0.357596,0.900321,-0.151897,
151,1690084045,1.094074,0.516539,-2.412030,-31.253147,-80.726570,15.767972,0.209113,0.357126,0.897798,-0.150637,
152,1690100712,0.338255,0.436349,-2.117379,-28.675303,-63.402905,5.716052,0.219399,0.355758,0.896142,-0.149100,
153,1690117379,-0.543093,0.795267,-1.968134,-19.821693,-39.577156,-6.504622,0.225821,0.353573,0.895615,-0.147868,
154,1690134046,-0.316166,0.638952,-1.044601,-11.964233,-14.447263,-19.084747,0.228284,0.350536,0.896363,-0.146780,
155,1690150713,-0.229703,0.251714,-1.251992,-6.627197,11.555696,-31.881063,0.226807,0.346551,0.898495,-0.145493,
156,1690167380,-0.174336,0.205503,-1.677116,2.497159,40.785870,-42.005272,0.220823,0.342134,0.901870,-0.144263,
157,1690184047,0.734723,0.709904,-1.434680,7.513778,71.525047,-47.326542,0.210417,0.337772,0.906300,-0.142324,
158,1690200714,1.254274,0.763226,-2.195590,3.693768,102.342926,-47.674553,0.196077,0.333793,0.911590,-0.138347,
159,1690217381,1.403741,0.502149,-3.041299,-2.634131,133.610306,-46.029179,0.177846,0.330340,0.917522,-0.131911,
160,1690234048,1.550586,0.239136,-4.467090,-6.639330,163.666412,-43.793655,0.155726,0.327456,0.923744,-0.123363,
161,1690250715,2.260380,0.294711,-5.083844,-12.283645,191.368225,-40.551872,0.130070,0.325106,0.929901,-0.112568,
162,1690267382,3.299996,-0.550891,-5.687899,-21.102201,213.108414,-38.319447,0.101771,0.322908,0.935678,-0.099394,
163,1690284049,3.536217,-1.686638,-7.817002,-16.102118,232.285553,-39.272800,0.070451,0.320530,0.940701,-0.085899,
164,1690300716,3.605536,-2.315974,-9.710237,12.915243,251.672256,-43.803440,0.034919,0.317606,0.944574,-0.075411,
165,1690317383,2.393131,-2.128152,-13.259539,51.154480,273.304504,-50.898838,-0.005538,0.313595,0.947023,-0.069106,
166,1690334050,-4.981970,-4.748975,-45.630566,77.530731,257.954895,-57.795380,-0.045178,0.307889,0.947983,-0.067024,
167,1690350717,-2.806979,1.438661,-22.856678,117.989372,49.106098,-58.517994,-0.057716,0.299447,0.949016,-0.079800,
168,1690367384,-0.839849,-0.350908,-14.163596,-20.835167,51.995056,-51.655663,-0.064441,0.293075,0.951087,-0.073403,
169,1690384051,-0.051598,-3.382588,-19.747421,-107.619125,46.644489,-40.113251,-0.066565,0.288988,0.953408,-0.055393,
170,1690400718,2.319579,-6.489417,-22.622883,-70.427002,18.605671,-30.446316,-0.066259,0.285589,0.955052,-0.043879,
171,1690417385,4.048886,-6.735104,-21.885511,3.047153,-31.634941,-22.435230,-0.061984,0.282255,0.956285,-0.044820,
172,1690434052,4.474482,-4.864450,-20.140421,12.322557,-87.721107,-10.142618,-0.050231,0.280161,0.957357,-0.049531,
173,1690450719,3.775342,-4.188842,-18.221651,-26.882931,-133.019028,6.385015,-0.030468,0.280257,0.958097,-0.050780,
174,1690467386,2.506411,-5.103778,-16.191187,-55.133720,-163.552139,19.629541,-0.005210,0.281960,0.958140,-0.049401,
175,1690484053,2.375933,-5.891248,-13.958204,-49.499870,-184.983307,27.265646,0.022840,0.284372,0.957153,-0.049692,
176,1690500720,3.519364,-5.020710,-11.611635,-23.954956,-199.330765,33.267975,0.051830,0.287365,0.954886,-0.054107,
177,1690517387,4.173751,-3.159078,-8.037225,-13.636763,-206.097198,42.517311,0.081321,0.291408,0.951237,-0.060143,
178,1690534054,4.368020,-2.360089,-5.465438,-23.954103,-204.750397,52.561081,0.111043,0.296453,0.946373,-0.064528,
179,1690550721,4.997703,-1.189423,-2.894505,-30.735090,-196.381775,61.684124,0.139860,0.302445,0.940437,-0.067416,
180,1690567388,4.548856,-0.711034,-0.845267,-42.557816,-181.605621,69.190063,0.167103,0.309107,0.933772,-0.067821,
181,1690584055,2.148628,-0.834986,0.720914,-56.303642,-152.788345,68.871231,0.190905,0.315448,0.927265,-0.065015,
182,1690600722,-1.381454,-0.542730,2.772982,-58.749668,-105.112770,56.205746,0.208173,0.320306,0.922208,-0.060012,
183,1690617389,-3.311428,0.468410,3.634115,-36.210682,-38.337067,36.778191,0.215239,0.323752,0.919661,-0.055499,
184,1690634056,-2.440606,1.515027,5.368431,16.411915,39.719837,16.571777,0.209243,0.326753,0.920015,-0.054980,
185,1690650723,-0.129104,3.659976,6.301348,41.669041,115.347290,0.176257,0.191792,0.328874,0.923072,-0.054731,
186,1690667390,0.391737,4.940290,4.800045,24.345255,181.910812,-10.853151,0.166075,0.329392,0.928168,-0.049231,
187,1690684057,-1.589679,4.170245,1.704972,18.151243,238.102722,-22.670261,0.132849,0.328249,0.934329,-0.040414,
